channels_to_turn_off,seed,validation-roc-auc,validation-pr-auc,test-roc-auc,test-pr-auc
1,510,0.8765816249994507,0.38979730232095455,0.8072703851392377,0.17411145157225927
1,365,0.8818506432574554,0.36595222067709754,0.799564850628209,0.17996654595248424
1,382,0.8769747285213144,0.3761883192845264,0.7633486942857788,0.17606147113217205
1,322,0.892719456647203,0.36492505864831887,0.7660109156564628,0.16263656909971666
1,988,0.8774881544847255,0.3528512844806187,0.7968649863864751,0.17456902672378616
1,98,0.8806749103544461,0.3807401871030458,0.7817323304695922,0.1708301433556444
1,742,0.8617954593812902,0.3586917474029221,0.7813867811098648,0.17292269504353883
1,17,0.8772672181288322,0.37931993806256825,0.7806829869302176,0.17856203039024326
1,595,0.8686515789731355,0.3786395983155303,0.7829347402342528,0.16867283524406235
1,106,0.8736570427543231,0.3562193444779428,0.811415425172625,0.1780003860619717
2,510,0.9750926897055583,0.7092257831884554,0.9190763648007778,0.3030844286480456
2,365,0.9685219671620788,0.7271317496849591,0.9306016251076065,0.33110068533930903
2,382,0.9670148297252292,0.6658406289145402,0.9247443056703136,0.3215934313798593
2,322,0.9722707298871027,0.7279685990149044,0.9346888980251851,0.3588115728092422
2,988,0.9766522995269326,0.6941750501636418,0.9294239964377314,0.34348327669068085
2,98,0.9710897246392367,0.6946174954587817,0.9200946626733069,0.33875186937499535
2,742,0.9748495341820554,0.7347260996171869,0.9414649474463387,0.3640042027172672
2,17,0.9717633294606705,0.7016060624224995,0.9357932367458286,0.32128144404193953
2,595,0.970564059303837,0.7106838747471941,0.9072368779945209,0.31320176757350465
2,106,0.9735981054707482,0.7359015353789106,0.9441546109689662,0.38500817119906716
3,510,0.9707440094550718,0.5911581982390133,0.9426916947962584,0.40096820010178486
3,365,0.9815279631990329,0.6901539512684959,0.9632486939753222,0.4723467594186016
3,382,0.9756241922799063,0.6190388945548667,0.958410115920085,0.4383461306704305
3,322,0.9719268976832438,0.5986476757971457,0.9462141583320138,0.43905185564711924
3,988,0.9791373314026508,0.6650999425106219,0.9649442308946075,0.46133778419498916
