channels_to_turn_off,seed,validation-roc-auc,validation-pr-auc,test-roc-auc,test-pr-auc
0,510,0.9874328800177854,0.8974038225035861,0.9848383889269385,0.9069155363679332
0,365,0.9878715911310697,0.8947258052068068,0.9848175212780209,0.8953393398803087
0,382,0.9874968537037898,0.8992320395821749,0.9846365802715813,0.8972441720895001
0,322,0.9882915629643423,0.8975395789177474,0.9855658132817114,0.9022585339538554
0,988,0.9888820429765395,0.8992388523904529,0.9860176186352255,0.9067403314502648
0,98,0.9871986149311596,0.894541290185444,0.9856128692639909,0.892950044529456
0,742,0.9876316416355971,0.898306438977628,0.9842586984700203,0.9018234899528714
0,17,0.987419343417057,0.8974404235607241,0.9855412475684284,0.9040195155121242
0,595,0.986895607035853,0.8934339632371265,0.9836146315048667,0.9043639176747253
0,106,0.9878060759104629,0.8910589085362423,0.9862042576796155,0.9079085898399243
0,123,0.9873550325203585,0.88636515349345,0.9858167910989855,0.9090559945663458
0,569,0.9874456458512125,0.8966811831962199,0.9841438320625954,0.8987761742605065
0,214,0.9873809495708632,0.8936787175942998,0.9823324597599654,0.8925384019898865
0,737,0.9873413995737176,0.8933263860950458,0.9845243553387032,0.9009627971175015
0,96,0.9876099638052492,0.8944147775211605,0.9857231319586345,0.9070176510802308
1,510,0.9894070077681301,0.9043502924490227,0.9872573758459794,0.9062477534571599
1,365,0.9890877174135844,0.9056048706250709,0.9870148130119035,0.9049110428053222
1,382,0.9898244264347171,0.9075739091290808,0.9872480929497158,0.9012603609649884
1,322,0.9895475282817406,0.910710093787484,0.986539724947029,0.9069968528440746
1,988,0.9894149563059242,0.9044146499998446,0.9863778402926754,0.9072078493559685
1,98,0.9891655649110114,0.9036075780425584,0.9851684977745577,0.9023490858499412
1,742,0.9886487654355184,0.9014379989316598,0.9868705885016613,0.9007954768071859
1,17,0.989555958549098,0.9080946598128548,0.9871810749669344,0.9081063158609959
1,595,0.9896170900306789,0.9045439867094439,0.987730879026126,0.9132366631308195
1,106,0.9898611342274396,0.9179230947474373,0.9881135909525722,0.8998202343193471
1,123,0.989813876557281,0.9075182738861262,0.9873993362351817,0.9029133773145541
1,569,0.9894806160454002,0.9027508746395164,0.9877091434641428,0.9143632912230714
1,214,0.9893118180064249,0.9091904867012688,0.9881732128066232,0.9033739420734135
1,737,0.9893400473588334,0.9069409598540805,0.9864478771035099,0.9005668457666102
