channels_to_turn_off,seed,validation-roc-auc,validation-pr-auc,test-roc-auc,test-pr-auc
0,510,0.9874398169234967,0.8968747477306424,0.9844205831243739,0.9015733840077468
0,365,0.9884128624683776,0.8993749667917554,0.9848171061891635,0.8985454708970415
0,382,0.987482498162804,0.8945173556277285,0.9845703924665146,0.9018060789503901
0,322,0.9877501952811216,0.897422040544428,0.9853575518813902,0.9034147527024899
0,988,0.9874373601027241,0.903177771620423,0.9844340169092106,0.8865527064772373
0,98,0.9876670487584985,0.8885780504549985,0.9876111070231148,0.9111317677153405
0,742,0.987137098065928,0.8963080439359217,0.9838258739978905,0.9030657976092001
0,17,0.9869524029513644,0.8933822695404706,0.985253779667061,0.9000376765357979
0,595,0.987791431331739,0.8976813255228125,0.9851826862664078,0.9009257276340686
0,106,0.9878569947253022,0.8974804624733311,0.9847074095247799,0.9011408073253171
0,123,0.9876663743371101,0.8937661751147509,0.9848903882401553,0.9027775444314206
0,569,0.9871831514121783,0.8906521464549985,0.9847920499163219,0.8979326733787785
0,214,0.9871938458084829,0.8909909701151374,0.983552519117672,0.9001107542821661
0,737,0.9873006452526636,0.8984204964417244,0.9859607891971238,0.89798743283027
0,96,0.9874513784330157,0.8981120201617531,0.984650919704834,0.892265424518148
1,510,0.9893616288432686,0.9036749706478316,0.9882396647591447,0.9119953566013529
1,365,0.9894933818788272,0.9065795847466883,0.9861050891780675,0.8940383721630204
1,382,0.9892932714182383,0.9042860772886527,0.9876610686273954,0.9106327372345797
1,322,0.989810046807253,0.9005973666303588,0.9877752557985082,0.9092555051276581
1,988,0.9896164637822467,0.9055256622496661,0.9869475686170184,0.915322958095621
1,98,0.9892604656349786,0.9064536156355728,0.9857979234236529,0.9047343215304756
1,742,0.9890113632778035,0.9052132070548508,0.9881166097806255,0.9048622045433852
1,17,0.9898431657147289,0.9057919271768966,0.9869333801251682,0.9016416751666864
1,595,0.9896194986784954,0.9116079344798305,0.9861265228572453,0.9050915511994395
1,106,0.989510965007887,0.910875956564901,0.9866748929731116,0.9143913263484654
1,123,0.9893055073491458,0.9045585016111823,0.9881846088825241,0.9105042893075336
1,569,0.9896055766941164,0.906002121939234,0.9875997109472138,0.9029067019189444
1,214,0.9892885986414744,0.9028222028594335,0.9878629527534543,0.9055165030353624
1,737,0.9896669972134353,0.9073913119857262,0.9884957745841093,0.9109213686554564
1,96,0.9899453887280583,0.9072506022152754,0.9865937619691814,0.9063084675883416
2,510,0.9901825441920638,0.9136525081133848,0.9881046854098152,0.9005051884701981
2,365,0.9895623655522897,0.9072516131407601,0.987222357440562,0.907958757653666
2,382,0.9899646097376334,0.9159421552048136,0.9861899182463628,0.9006064089648506
2,322,0.9898665777715046,0.9136235011171816,0.9870829630552047,0.9117466510047495
2,988,0.9900763709963155,0.9089977083674435,0.9869594929878284,0.90359729742997
2,98,0.989171393838727,0.9057695021766932,0.9870223600820367,0.9007933398828987
2,742,0.9894918403442247,0.9077166506618631,0.987367412128519,0.9090216862153516
2,17,0.9900099645760165,0.913435400195546,0.9866927795293268,0.9149769811046053
2,595,0.9895277291966896,0.9067261607117034,0.9864201038854205,0.90573776400962
2,106,0.9900553675873561,0.908466573443259,0.9869611533432577,0.8905129734156796
2,123,0.9891501977379425,0.9077556502835495,0.9876859739588346,0.8895405144547816
2,569,0.9893437085035143,0.898613628549584,0.986413160580898,0.8712919979962428
2,214,0.9892338259901288,0.9031407475820233,0.9868290796159295,0.8940897399905716
2,737,0.9903989852848478,0.9085159813181646,0.9863008601773183,0.900685852151223
2,96,0.9889858797839057,0.9033956611161925,0.9881790995213272,0.9023813681997509
3,510,0.9896541832070521,0.9117104477982172,0.9877964630655821,0.9002642162038955
3,365,0.9900316183198863,0.9100811983709987,0.987573220731047,0.8971939715714254
3,382,0.9897460972077269,0.9127199403029378,0.9867445524304396,0.9003840878207712
